,map_ins_state,map_ins_dist,map_ins_years,map_ins_qtr,map_ins_amount,map_ins_count
0,arunachal-pradesh,lower dibang valley ,2021,4,12440.0,11
1,arunachal-pradesh,lower subansiri ,2021,4,10820.0,7
2,arunachal-pradesh,longding ,2021,4,4852.0,2
3,arunachal-pradesh,west siang ,2021,4,25308.0,14
4,arunachal-pradesh,upper siang ,2021,4,6420.0,2
5,arunachal-pradesh,ap ,2021,4,37402.0,14
6,arunachal-pradesh,papum pare ,2021,4,232985.0,128
7,arunachal-pradesh,kurung kumey ,2021,4,4597.0,2
8,arunachal-pradesh,anjaw ,2021,4,1175.0,2
9,arunachal-pradesh,ang ,2021,4,7876.0,5
10,arunachal-pradesh,lower siang ,2021,4,3130.0,2
11,arunachal-pradesh,hanglang ,2021,4,59532.0,26
12,arunachal-pradesh,pakke kessang ,2021,4,6980.0,4
13,arunachal-pradesh,west kameng ,2021,4,61049.0,37
14,arunachal-pradesh,east siang ,2021,4,22841.0,7
15,arunachal-pradesh,upper subansiri ,2021,4,6632.0,4
16,arunachal-pradesh,east kameng ,2021,4,4783.0,4
17,arunachal-pradesh,lohit ,2021,4,19353.0,17
18,arunachal-pradesh,lepa rada ,2021,4,22217.0,4
19,arunachal-pradesh,awang ,2021,4,28772.0,14
20,arunachal-pradesh,namsai ,2021,4,19295.0,14
21,arunachal-pradesh,lower dibang valley ,2021,1,4680.0,5
22,arunachal-pradesh,lower subansiri ,2021,1,5103.0,2
23,arunachal-pradesh,longding ,2021,1,1334.0,2
24,arunachal-pradesh,west siang ,2021,1,3690.0,7
25,arunachal-pradesh,kamle ,2021,1,167.0,1
26,arunachal-pradesh,upper siang ,2021,1,900.0,5
27,arunachal-pradesh,ap ,2021,1,7696.0,7
28,arunachal-pradesh,papum pare ,2021,1,62651.0,65
29,arunachal-pradesh,ang ,2021,1,136.0,2
30,arunachal-pradesh,lower siang ,2021,1,733.0,5
31,arunachal-pradesh,kra daadi ,2021,1,366.0,2
32,arunachal-pradesh,hanglang ,2021,1,4524.0,12
33,arunachal-pradesh,pakke kessang ,2021,1,415.0,2
34,arunachal-pradesh,bang valley ,2021,1,669.0,1
35,arunachal-pradesh,west kameng ,2021,1,9871.0,15
36,arunachal-pradesh,east siang ,2021,1,8695.0,18
37,arunachal-pradesh,upper subansiri ,2021,1,4237.0,7
38,arunachal-pradesh,east kameng ,2021,1,132.0,4
39,arunachal-pradesh,lohit ,2021,1,2951.0,11
40,arunachal-pradesh,lepa rada ,2021,1,1258.0,2
41,arunachal-pradesh,awang ,2021,1,10155.0,11
42,arunachal-pradesh,namsai ,2021,1,1248.0,8
43,arunachal-pradesh,lower dibang valley ,2021,3,11845.0,13
44,arunachal-pradesh,lower subansiri ,2021,3,11875.0,6
45,arunachal-pradesh,west siang ,2021,3,57300.0,21
46,arunachal-pradesh,kamle ,2021,3,1245.0,2
47,arunachal-pradesh,upper siang ,2021,3,11455.0,5
48,arunachal-pradesh,ap ,2021,3,38082.0,14
49,arunachal-pradesh,papum pare ,2021,3,95368.0,50
50,arunachal-pradesh,anjaw ,2021,3,1531.0,1
51,arunachal-pradesh,lower siang ,2021,3,1927.0,3
52,arunachal-pradesh,kra daadi ,2021,3,946.0,1
53,arunachal-pradesh,hanglang ,2021,3,25894.0,15
54,arunachal-pradesh,west kameng ,2021,3,21566.0,22
55,arunachal-pradesh,east siang ,2021,3,32914.0,23
56,arunachal-pradesh,upper subansiri ,2021,3,2417.0,2
57,arunachal-pradesh,lohit ,2021,3,15097.0,10
58,arunachal-pradesh,lepa rada ,2021,3,946.0,1
59,arunachal-pradesh,awang ,2021,3,5436.0,8
60,arunachal-pradesh,namsai ,2021,3,35207.0,15
61,arunachal-pradesh,lower dibang valley ,2021,2,8091.0,14
62,arunachal-pradesh,lower subansiri ,2021,2,4236.0,10
63,arunachal-pradesh,west siang ,2021,2,8990.0,18
64,arunachal-pradesh,upper siang ,2021,2,210.0,1
65,arunachal-pradesh,ap ,2021,2,1405.0,1
66,arunachal-pradesh,papum pare ,2021,2,89335.0,69
67,arunachal-pradesh,kurung kumey ,2021,2,94.0,2
68,arunachal-pradesh,anjaw ,2021,2,19882.0,2
69,arunachal-pradesh,ang ,2021,2,5423.0,1
70,arunachal-pradesh,kra daadi ,2021,2,210.0,1
71,arunachal-pradesh,hanglang ,2021,2,11258.0,12
72,arunachal-pradesh,west kameng ,2021,2,17896.0,20
73,arunachal-pradesh,hi yomi ,2021,2,933.0,1
74,arunachal-pradesh,east siang ,2021,2,2979.0,6
75,arunachal-pradesh,upper subansiri ,2021,2,467.0,2
76,arunachal-pradesh,east kameng ,2021,2,327.0,4
77,arunachal-pradesh,lohit ,2021,2,21096.0,16
78,arunachal-pradesh,awang ,2021,2,23216.0,13
79,arunachal-pradesh,namsai ,2021,2,8880.0,11
80,arunachal-pradesh,lower dibang valley ,2023,4,81825.0,35
81,arunachal-pradesh,lower subansiri ,2023,4,21089.0,13
82,arunachal-pradesh,longding ,2023,4,19165.0,6
83,arunachal-pradesh,west siang ,2023,4,119227.0,48
84,arunachal-pradesh,kamle ,2023,4,11668.0,1
85,arunachal-pradesh,upper siang ,2023,4,22705.0,10
86,arunachal-pradesh,ap ,2023,4,74981.0,32
87,arunachal-pradesh,papum pare ,2023,4,852980.0,318
88,arunachal-pradesh,kurung kumey ,2023,4,1354.0,4
89,arunachal-pradesh,anjaw ,2023,4,18810.0,3
90,arunachal-pradesh,ang ,2023,4,4226.0,2
91,arunachal-pradesh,lower siang ,2023,4,42641.0,9
92,arunachal-pradesh,hanglang ,2023,4,94883.0,47
93,arunachal-pradesh,pakke kessang ,2023,4,1695.0,3
94,arunachal-pradesh,bang valley ,2023,4,20681.0,2
95,arunachal-pradesh,west kameng ,2023,4,190405.0,67
96,arunachal-pradesh,hi yomi ,2023,4,6149.0,2
97,arunachal-pradesh,east siang ,2023,4,109484.0,42
98,arunachal-pradesh,upper subansiri ,2023,4,19213.0,14
99,arunachal-pradesh,east kameng ,2023,4,17324.0,18
100,arunachal-pradesh,lohit ,2023,4,77356.0,34
101,arunachal-pradesh,lepa rada ,2023,4,9401.0,5
102,arunachal-pradesh,awang ,2023,4,167579.0,45
103,arunachal-pradesh,namsai ,2023,4,120567.0,49
104,arunachal-pradesh,lower dibang valley ,2023,1,32562.0,17
