,map_trx_state,map__trx_dist,map_trx_years,map_trx_qtr,map_trx_amount,map_trx_count
0,arunachal pradesh,lower dibang valley ,2021,4,174980099.83925235,65302
1,arunachal pradesh,lower subansiri ,2021,4,199366119.13556093,60146
2,arunachal pradesh,longding ,2021,4,125754642.94209707,37096
3,arunachal pradesh,west siang ,2021,4,267978346.9418527,79050
4,arunachal pradesh,kamle ,2021,4,31862943.48592616,8517
5,arunachal pradesh,upper siang ,2021,4,155266317.84142125,41167
6,arunachal pradesh,ap ,2021,4,172835892.68512428,52675
7,arunachal pradesh,papum pare ,2021,4,2435796597.1781564,919925
8,arunachal pradesh,kurung kumey ,2021,4,36028643.15543166,8467
9,arunachal pradesh,anjaw ,2021,4,77313027.11673045,24083
10,arunachal pradesh,ang ,2021,4,72065716.16878249,22785
11,arunachal pradesh,lower siang ,2021,4,69995156.90875632,25424
12,arunachal pradesh,kra daadi ,2021,4,42553945.301929176,10986
13,arunachal pradesh,hanglang ,2021,4,403255246.4023236,147432
14,arunachal pradesh,pakke kessang ,2021,4,15848508.20917535,6343
15,arunachal pradesh,bang valley ,2021,4,14284034.399703257,2711
16,arunachal pradesh,west kameng ,2021,4,765859269.2953706,247346
17,arunachal pradesh,hi yomi ,2021,4,19610548.431270048,3066
18,arunachal pradesh,east siang ,2021,4,450185173.037876,169617
19,arunachal pradesh,upper subansiri ,2021,4,226652835.3581027,54298
20,arunachal pradesh,east kameng ,2021,4,122366463.65672666,27988
21,arunachal pradesh,lohit ,2021,4,328942905.2553121,142772
22,arunachal pradesh,lepa rada ,2021,4,101798549.88186258,28633
23,arunachal pradesh,awang ,2021,4,412396002.3197621,99575
24,arunachal pradesh,namsai ,2021,4,220513367.66283622,105194
25,arunachal pradesh,lower dibang valley ,2021,1,90709108.52350861,32427
26,arunachal pradesh,lower subansiri ,2021,1,106591162.96103427,29916
27,arunachal pradesh,longding ,2021,1,75573420.97022958,23962
28,arunachal pradesh,west siang ,2021,1,138700637.29161483,42575
29,arunachal pradesh,kamle ,2021,1,11023767.702559106,3092
30,arunachal pradesh,upper siang ,2021,1,73026286.55263102,21312
31,arunachal pradesh,ap ,2021,1,110593517.1462319,32043
32,arunachal pradesh,papum pare ,2021,1,1388723426.7156572,419891
33,arunachal pradesh,kurung kumey ,2021,1,22483754.80073421,4962
34,arunachal pradesh,anjaw ,2021,1,38844865.55268997,12823
35,arunachal pradesh,ang ,2021,1,42644184.41156319,13679
36,arunachal pradesh,lower siang ,2021,1,37929392.80129131,13231
37,arunachal pradesh,kra daadi ,2021,1,24326518.988243874,6393
38,arunachal pradesh,hanglang ,2021,1,220167765.51868472,78849
39,arunachal pradesh,pakke kessang ,2021,1,8146941.7919960935,3563
40,arunachal pradesh,bang valley ,2021,1,7949867.973505622,1930
41,arunachal pradesh,west kameng ,2021,1,384735272.8434415,120906
42,arunachal pradesh,hi yomi ,2021,1,6905518.17317189,1251
43,arunachal pradesh,east siang ,2021,1,253988360.79783517,82357
44,arunachal pradesh,upper subansiri ,2021,1,116973014.48753676,28053
45,arunachal pradesh,east kameng ,2021,1,77915774.21328105,16281
46,arunachal pradesh,lohit ,2021,1,198534806.934188,72380
47,arunachal pradesh,lepa rada ,2021,1,52794992.77695303,15690
48,arunachal pradesh,awang ,2021,1,207859088.41115895,54137
49,arunachal pradesh,namsai ,2021,1,116637630.67690115,45753
50,arunachal pradesh,lower dibang valley ,2021,3,133788746.95473914,50270
51,arunachal pradesh,lower subansiri ,2021,3,142674452.19705147,46105
52,arunachal pradesh,longding ,2021,3,100698520.96035638,32638
53,arunachal pradesh,west siang ,2021,3,217065611.3332364,65763
54,arunachal pradesh,kamle ,2021,3,19140719.47908092,6064
55,arunachal pradesh,upper siang ,2021,3,114285857.14806488,27960
56,arunachal pradesh,ap ,2021,3,143620525.85725695,47118
57,arunachal pradesh,papum pare ,2021,3,1995999756.3372893,710098
58,arunachal pradesh,kurung kumey ,2021,3,30935383.383134913,7417
59,arunachal pradesh,anjaw ,2021,3,69876730.14897071,22621
60,arunachal pradesh,ang ,2021,3,58453201.45572044,17241
61,arunachal pradesh,lower siang ,2021,3,46101622.757140934,19324
62,arunachal pradesh,kra daadi ,2021,3,32167939.60284054,8974
63,arunachal pradesh,hanglang ,2021,3,319705502.42197955,120126
64,arunachal pradesh,pakke kessang ,2021,3,12416386.841288097,5061
65,arunachal pradesh,bang valley ,2021,3,13284361.635290643,2354
66,arunachal pradesh,west kameng ,2021,3,658232385.7409549,209165
67,arunachal pradesh,hi yomi ,2021,3,17495021.72242897,2559
68,arunachal pradesh,east siang ,2021,3,368061706.2429154,128957
69,arunachal pradesh,upper subansiri ,2021,3,191353412.42695975,46434
70,arunachal pradesh,east kameng ,2021,3,102442240.26594694,23739
71,arunachal pradesh,lohit ,2021,3,275160751.4034922,117879
72,arunachal pradesh,lepa rada ,2021,3,72378628.44705966,20756
73,arunachal pradesh,awang ,2021,3,365404078.3528414,89052
74,arunachal pradesh,namsai ,2021,3,177380632.18278244,79292
75,arunachal pradesh,lower dibang valley ,2021,2,105552358.12192997,42091
76,arunachal pradesh,lower subansiri ,2021,2,120717472.89200453,40081
77,arunachal pradesh,longding ,2021,2,96566640.5347223,31640
78,arunachal pradesh,west siang ,2021,2,180700138.79997098,59341
79,arunachal pradesh,kamle ,2021,2,17345427.03524171,5476
80,arunachal pradesh,upper siang ,2021,2,89455180.0696969,25971
81,arunachal pradesh,ap ,2021,2,144548683.3225929,46320
82,arunachal pradesh,papum pare ,2021,2,1501062555.477559,552953
83,arunachal pradesh,kurung kumey ,2021,2,27396796.623303153,6623
84,arunachal pradesh,anjaw ,2021,2,43475744.23676274,15311
85,arunachal pradesh,ang ,2021,2,52687221.42695154,17032
86,arunachal pradesh,lower siang ,2021,2,45499278.56988002,17401
87,arunachal pradesh,kra daadi ,2021,2,35998227.60012327,8758
88,arunachal pradesh,hanglang ,2021,2,264031910.34894213,105461
89,arunachal pradesh,pakke kessang ,2021,2,13097426.072373278,4424
90,arunachal pradesh,bang valley ,2021,2,9465919.622553768,1995
91,arunachal pradesh,west kameng ,2021,2,482626617.86575466,164866
92,arunachal pradesh,hi yomi ,2021,2,12166777.18507706,2135
93,arunachal pradesh,east siang ,2021,2,286839106.4541313,106787
94,arunachal pradesh,upper subansiri ,2021,2,131912938.7628825,35856
95,arunachal pradesh,east kameng ,2021,2,95352007.56231916,22015
96,arunachal pradesh,lohit ,2021,2,230495504.2475701,99686
97,arunachal pradesh,lepa rada ,2021,2,71336743.85611859,21273
98,arunachal pradesh,awang ,2021,2,251025037.95363936,70061
99,arunachal pradesh,namsai ,2021,2,147069902.3522784,64781
100,arunachal pradesh,lower dibang valley ,2019,4,21103089.24170351,10376
101,arunachal pradesh,lower subansiri ,2019,4,29634357.486805215,11806
102,arunachal pradesh,longding ,2019,4,29245021.393976457,11018
103,arunachal pradesh,west siang ,2019,4,39460255.46641725,14581
104,arunachal pradesh,kamle ,2019,4,1620922.3277442688,999
105,arunachal pradesh,upper siang ,2019,4,12739585.638734035,4165
106,arunachal pradesh,ap ,2019,4,38467790.7269052,16459
107,arunachal pradesh,papum pare ,2019,4,378838002.3434037,143272
108,arunachal pradesh,kurung kumey ,2019,4,4526789.748638094,1343
109,arunachal pradesh,anjaw ,2019,4,11887950.534618177,5417
110,arunachal pradesh,ang ,2019,4,8833695.424992222,4756
111,arunachal pradesh,lower siang ,2019,4,11985865.259161524,6628
112,arunachal pradesh,kra daadi ,2019,4,7804936.327522229,2830
113,arunachal pradesh,hanglang ,2019,4,71874990.9639822,33963
114,arunachal pradesh,pakke kessang ,2019,4,2287739.0120923957,1194
115,arunachal pradesh,bang valley ,2019,4,1240493.0270471391,267
116,arunachal pradesh,west kameng ,2019,4,198205637.50055438,66740
117,arunachal pradesh,hi yomi ,2019,4,170772.72677991798,232
118,arunachal pradesh,east siang ,2019,4,72075285.44344108,26605
119,arunachal pradesh,upper subansiri ,2019,4,28319761.873849634,9285
120,arunachal pradesh,east kameng ,2019,4,19408662.74847077,5646
121,arunachal pradesh,lohit ,2019,4,67502324.59236205,29281
122,arunachal pradesh,lepa rada ,2019,4,8888753.875914622,4245
123,arunachal pradesh,awang ,2019,4,91949243.6071119,30077
124,arunachal pradesh,namsai ,2019,4,32501252.235055383,18290
125,arunachal pradesh,lower dibang valley ,2019,1,13738776.18143886,6314
126,arunachal pradesh,lower subansiri ,2019,1,12615032.122891838,4994
127,arunachal pradesh,longding ,2019,1,25349462.055245366,7287
128,arunachal pradesh,west siang ,2019,1,19426751.301233895,5921
129,arunachal pradesh,kamle ,2019,1,725807.1059240355,391
130,arunachal pradesh,upper siang ,2019,1,2756678.3077581595,1154
131,arunachal pradesh,ap ,2019,1,14075747.836402504,6877
132,arunachal pradesh,papum pare ,2019,1,188556716.3567257,70941
133,arunachal pradesh,kurung kumey ,2019,1,2076644.1215012982,740
134,arunachal pradesh,anjaw ,2019,1,4643030.795590812,2116
