,Top_ins_state,Top_ins_pincode,Top_ins_year,Top_ins_qtr,Top_ins_amount,Top_ins_count
0,arunachal-pradesh,791110,2021,4,84245.0,44
1,arunachal-pradesh,791111,2021,4,62422.0,31
2,arunachal-pradesh,791113,2021,4,42208.0,23
3,arunachal-pradesh,791001,2021,4,27105.0,17
4,arunachal-pradesh,792103,2021,4,24037.0,16
5,arunachal-pradesh,790001,2021,4,19900.0,14
6,arunachal-pradesh,791109,2021,4,15990.0,14
7,arunachal-pradesh,790104,2021,4,18120.0,13
8,arunachal-pradesh,792130,2021,4,30185.0,12
9,arunachal-pradesh,792110,2021,4,12440.0,11
10,arunachal-pradesh,791110,2021,1,32836.0,21
11,arunachal-pradesh,791111,2021,1,6658.0,18
12,arunachal-pradesh,791102,2021,1,8055.0,17
13,arunachal-pradesh,791113,2021,1,9549.0,16
14,arunachal-pradesh,792103,2021,1,1983.0,11
15,arunachal-pradesh,792001,2021,1,2577.0,9
16,arunachal-pradesh,790104,2021,1,8819.0,9
17,arunachal-pradesh,790116,2021,1,3646.0,7
18,arunachal-pradesh,791122,2021,1,4237.0,7
19,arunachal-pradesh,791001,2021,1,3690.0,7
20,arunachal-pradesh,791001,2021,3,57300.0,21
21,arunachal-pradesh,791102,2021,3,30911.0,20
22,arunachal-pradesh,791111,2021,3,62172.0,20
23,arunachal-pradesh,791110,2021,3,18773.0,16
24,arunachal-pradesh,792103,2021,3,35018.0,15
25,arunachal-pradesh,790116,2021,3,12529.0,13
26,arunachal-pradesh,792110,2021,3,11845.0,13
27,arunachal-pradesh,792129,2021,3,25474.0,10
28,arunachal-pradesh,792001,2021,3,12333.0,7
29,arunachal-pradesh,791120,2021,3,11875.0,6
30,arunachal-pradesh,791110,2021,2,14352.0,26
31,arunachal-pradesh,791001,2021,2,15346.0,20
32,arunachal-pradesh,791111,2021,2,39804.0,15
33,arunachal-pradesh,792103,2021,2,9960.0,14
34,arunachal-pradesh,792110,2021,2,8091.0,14
35,arunachal-pradesh,792001,2021,2,19837.0,12
36,arunachal-pradesh,791113,2021,2,4357.0,10
37,arunachal-pradesh,791120,2021,2,4236.0,10
38,arunachal-pradesh,791109,2021,2,9677.0,9
39,arunachal-pradesh,791112,2021,2,20976.0,8
40,arunachal-pradesh,791110,2023,4,279822.0,106
41,arunachal-pradesh,791111,2023,4,241478.0,87
42,arunachal-pradesh,791113,2023,4,164868.0,60
43,arunachal-pradesh,791001,2023,4,124355.0,50
44,arunachal-pradesh,792103,2023,4,108659.0,40
45,arunachal-pradesh,790104,2023,4,146680.0,36
46,arunachal-pradesh,792110,2023,4,81825.0,35
47,arunachal-pradesh,791102,2023,4,81558.0,29
48,arunachal-pradesh,792001,2023,4,60980.0,26
49,arunachal-pradesh,791123,2023,4,71486.0,24
50,arunachal-pradesh,791110,2023,1,172651.0,74
51,arunachal-pradesh,791111,2023,1,229802.0,56
52,arunachal-pradesh,791113,2023,1,107932.0,42
53,arunachal-pradesh,791102,2023,1,77754.0,39
54,arunachal-pradesh,790104,2023,1,151958.0,36
55,arunachal-pradesh,791001,2023,1,92735.0,31
56,arunachal-pradesh,790116,2023,1,46603.0,19
57,arunachal-pradesh,791109,2023,1,26106.0,17
58,arunachal-pradesh,792110,2023,1,32562.0,17
59,arunachal-pradesh,792121,2023,1,56453.0,17
60,arunachal-pradesh,791110,2023,3,197412.0,91
61,arunachal-pradesh,791111,2023,3,203612.0,76
62,arunachal-pradesh,791102,2023,3,106325.0,48
63,arunachal-pradesh,791113,2023,3,145263.0,45
64,arunachal-pradesh,792110,2023,3,140365.0,39
65,arunachal-pradesh,792103,2023,3,50413.0,33
66,arunachal-pradesh,791123,2023,3,62165.0,30
67,arunachal-pradesh,790104,2023,3,89165.0,28
68,arunachal-pradesh,792129,2023,3,82497.0,26
69,arunachal-pradesh,791109,2023,3,45255.0,26
70,arunachal-pradesh,791110,2023,2,280971.0,94
71,arunachal-pradesh,791111,2023,2,210621.0,61
72,arunachal-pradesh,791113,2023,2,172799.0,48
73,arunachal-pradesh,791102,2023,2,133976.0,43
74,arunachal-pradesh,792103,2023,2,79156.0,30
75,arunachal-pradesh,791001,2023,2,89674.0,30
76,arunachal-pradesh,791123,2023,2,41320.0,29
77,arunachal-pradesh,792110,2023,2,51944.0,29
78,arunachal-pradesh,790104,2023,2,101946.0,26
79,arunachal-pradesh,792001,2023,2,53846.0,25
80,arunachal-pradesh,791111,2022,4,169298.0,86
81,arunachal-pradesh,791110,2022,4,153335.0,80
82,arunachal-pradesh,791102,2022,4,52395.0,29
83,arunachal-pradesh,791001,2022,4,60464.0,28
84,arunachal-pradesh,791113,2022,4,98039.0,27
85,arunachal-pradesh,792001,2022,4,50628.0,25
86,arunachal-pradesh,792103,2022,4,54947.0,24
87,arunachal-pradesh,792110,2022,4,56348.0,23
88,arunachal-pradesh,790104,2022,4,65530.0,23
89,arunachal-pradesh,791112,2022,4,42213.0,22
90,arunachal-pradesh,791111,2022,1,124161.0,51
91,arunachal-pradesh,791110,2022,1,58358.0,34
92,arunachal-pradesh,791113,2022,1,95648.0,29
93,arunachal-pradesh,791102,2022,1,46778.0,21
94,arunachal-pradesh,790116,2022,1,42054.0,21
95,arunachal-pradesh,792129,2022,1,55170.0,14
96,arunachal-pradesh,792001,2022,1,22997.0,13
97,arunachal-pradesh,791109,2022,1,12811.0,12
98,arunachal-pradesh,792056,2022,1,13617.0,10
99,arunachal-pradesh,792110,2022,1,17012.0,10
100,arunachal-pradesh,791111,2022,3,283474.0,98
101,arunachal-pradesh,791110,2022,3,151232.0,67
102,arunachal-pradesh,791102,2022,3,53678.0,32
103,arunachal-pradesh,791109,2022,3,36024.0,29
104,arunachal-pradesh,791113,2022,3,56908.0,25
105,arunachal-pradesh,790104,2022,3,97783.0,19
106,arunachal-pradesh,791001,2022,3,88301.0,18
107,arunachal-pradesh,791123,2022,3,38512.0,17
108,arunachal-pradesh,792110,2022,3,26960.0,17
109,arunachal-pradesh,790102,2022,3,25996.0,15
110,arunachal-pradesh,791110,2022,2,272742.0,97
111,arunachal-pradesh,791111,2022,2,210496.0,95
112,arunachal-pradesh,791113,2022,2,126741.0,59
113,arunachal-pradesh,791109,2022,2,77784.0,30
114,arunachal-pradesh,791102,2022,2,94817.0,25
115,arunachal-pradesh,791001,2022,2,54485.0,24
116,arunachal-pradesh,790104,2022,2,55603.0,22
117,arunachal-pradesh,792001,2022,2,45749.0,17
118,arunachal-pradesh,791123,2022,2,22207.0,15
119,arunachal-pradesh,791112,2022,2,42189.0,14
120,arunachal-pradesh,791113,2020,4,5383.0,18
121,arunachal-pradesh,791110,2020,4,7819.0,13
122,arunachal-pradesh,791111,2020,4,4999.0,10
123,arunachal-pradesh,792110,2020,4,1981.0,9
124,arunachal-pradesh,791102,2020,4,5359.0,8
125,arunachal-pradesh,790003,2020,4,10016.0,6
126,arunachal-pradesh,790001,2020,4,4355.0,5
127,arunachal-pradesh,790105,2020,4,5434.0,4
128,arunachal-pradesh,790104,2020,4,2973.0,4
129,arunachal-pradesh,791109,2020,4,888.0,4
130,arunachal-pradesh,791110,2020,3,4213.0,21
131,arunachal-pradesh,791102,2020,3,9111.0,19
132,arunachal-pradesh,791111,2020,3,5506.0,17
133,arunachal-pradesh,791112,2020,3,2281.0,10
134,arunachal-pradesh,791001,2020,3,2236.0,6
135,arunachal-pradesh,791123,2020,3,1540.0,6
136,arunachal-pradesh,791113,2020,3,2236.0,6
137,arunachal-pradesh,790116,2020,3,1512.0,6
138,arunachal-pradesh,792001,2020,3,796.0,5
139,arunachal-pradesh,792110,2020,3,843.0,4
140,arunachal-pradesh,791113,2020,2,3445.0,21
141,arunachal-pradesh,791110,2020,2,1304.0,6
142,arunachal-pradesh,791001,2020,2,1124.0,5
143,arunachal-pradesh,792056,2020,2,1064.0,5
144,arunachal-pradesh,792130,2020,2,744.0,4
145,arunachal-pradesh,791109,2020,2,811.0,3
146,arunachal-pradesh,792120,2020,2,739.0,3
147,arunachal-pradesh,790104,2020,2,827.0,3
148,arunachal-pradesh,791111,2020,2,744.0,3
149,arunachal-pradesh,792103,2020,2,939.0,2
150,arunachal-pradesh,791110,2024,1,258768.0,126
151,arunachal-pradesh,791111,2024,1,296463.0,105
152,arunachal-pradesh,791113,2024,1,149366.0,83
153,arunachal-pradesh,791102,2024,1,171426.0,76
154,arunachal-pradesh,791001,2024,1,128932.0,52
155,arunachal-pradesh,792110,2024,1,123833.0,48
156,arunachal-pradesh,792001,2024,1,92713.0,43
157,arunachal-pradesh,791109,2024,1,66049.0,42
158,arunachal-pradesh,792103,2024,1,80498.0,40
159,arunachal-pradesh,790104,2024,1,81575.0,40
160,gujarat,394210,2021,4,399641.0,374
161,gujarat,396191,2021,4,403351.0,368
162,gujarat,395010,2021,4,374092.0,326
163,gujarat,395006,2021,4,308398.0,260
164,gujarat,380008,2021,4,181475.0,203
165,gujarat,382345,2021,4,220890.0,200
166,gujarat,382350,2021,4,258982.0,196
167,gujarat,382330,2021,4,254861.0,189
168,gujarat,382415,2021,4,181874.0,187
169,gujarat,382481,2021,4,208446.0,179
170,gujarat,395010,2021,1,133115.0,242
171,gujarat,395006,2021,1,114498.0,240
172,gujarat,394210,2021,1,117945.0,191
173,gujarat,396191,2021,1,78361.0,170
174,gujarat,393001,2021,1,88942.0,166
175,gujarat,395003,2021,1,85087.0,149
176,gujarat,382345,2021,1,116229.0,143
177,gujarat,395002,2021,1,81620.0,139
178,gujarat,394230,2021,1,90744.0,137
179,gujarat,382350,2021,1,56925.0,136
180,gujarat,395010,2021,3,263796.0,383
181,gujarat,394210,2021,3,214199.0,316
182,gujarat,395006,2021,3,131234.0,302
183,gujarat,395003,2021,3,127836.0,234
184,gujarat,382350,2021,3,121111.0,186
185,gujarat,394221,2021,3,128167.0,179
186,gujarat,382415,2021,3,132989.0,176
187,gujarat,395002,2021,3,146101.0,173
188,gujarat,396191,2021,3,170283.0,171
189,gujarat,395009,2021,3,147974.0,156
190,gujarat,395006,2021,2,114635.0,294
191,gujarat,394210,2021,2,154102.0,283
192,gujarat,395010,2021,2,171425.0,266
193,gujarat,396191,2021,2,123514.0,208
194,gujarat,382350,2021,2,79080.0,169
195,gujarat,392130,2021,2,82823.0,155
196,gujarat,395012,2021,2,69297.0,149
197,gujarat,382415,2021,2,70366.0,145
198,gujarat,393001,2021,2,95953.0,142
199,gujarat,385001,2021,2,62872.0,134
200,gujarat,394210,2023,4,966984.0,816
201,gujarat,395010,2023,4,1044876.0,782
202,gujarat,396191,2023,4,1034784.0,710
203,gujarat,395006,2023,4,960206.0,638
204,gujarat,382481,2023,4,749838.0,491
205,gujarat,382415,2023,4,740155.0,478
206,gujarat,382350,2023,4,756630.0,455
207,gujarat,395007,2023,4,672598.0,440
208,gujarat,395003,2023,4,536867.0,426
209,gujarat,382330,2023,4,765464.0,425
210,gujarat,394210,2023,1,1073416.0,1001
211,gujarat,395010,2023,1,857535.0,818
212,gujarat,395006,2023,1,670206.0,618
213,gujarat,395007,2023,1,608545.0,511
214,gujarat,395003,2023,1,516547.0,493
215,gujarat,394221,2023,1,463064.0,473
216,gujarat,395002,2023,1,449111.0,452
217,gujarat,396191,2023,1,616275.0,447
218,gujarat,394230,2023,1,409772.0,410
219,gujarat,382345,2023,1,575965.0,384
220,gujarat,395006,2023,3,1257464.0,1451
221,gujarat,395010,2023,3,1163669.0,1354
222,gujarat,394210,2023,3,1192187.0,1247
223,gujarat,395003,2023,3,797374.0,886
224,gujarat,395004,2023,3,770323.0,752
225,gujarat,395002,2023,3,598001.0,691
226,gujarat,382350,2023,3,804798.0,687
227,gujarat,382415,2023,3,792375.0,674
228,gujarat,395007,2023,3,762069.0,668
229,gujarat,396191,2023,3,809380.0,635
230,gujarat,395010,2023,2,714994.0,685
231,gujarat,394210,2023,2,653790.0,649
232,gujarat,395006,2023,2,564875.0,590
233,gujarat,396191,2023,2,662391.0,511
234,gujarat,382350,2023,2,532958.0,440
235,gujarat,382415,2023,2,558684.0,437
236,gujarat,395003,2023,2,466395.0,435
237,gujarat,382481,2023,2,588420.0,431
238,gujarat,382330,2023,2,596709.0,429
239,gujarat,395007,2023,2,520101.0,399
240,gujarat,394210,2022,4,769818.0,773
241,gujarat,395010,2022,4,732250.0,681
242,gujarat,396191,2022,4,842130.0,597
243,gujarat,395006,2022,4,690879.0,566
244,gujarat,382415,2022,4,535626.0,477
245,gujarat,395003,2022,4,437321.0,432
